Username,Posts,Followers,Following,Account Type
cristian0s.7,207,726,244,Journalist
aryankhan.17,62,801,64,None
sara_ali_khan_2021,163,978,520,None
fcbarcelonafanbase2,25,1231,442,Sports
hissecretobsessionmylove,253,1403,4173,None
messiflame_,12,1515,72,None
bigtimebarcaguy,168,1588,5147,None
beingmadridista,314,1671,99,Writer
imessivds,27,2512,19,None
pubg_status_maker_official,59,2589,8,Video Creator
auntfloh,218,2743,48,None
srkxforever,386,2765,105,Fan Page
ansu_fati.22,141,2884,68,Athlete
royalenfielddevoto,199,3076,10,Motorcycle Dealership
royal.enfield.love,601,3334,70,Personal Blog
footypassage7x,21,3588,91,None
rajdootexcelt175,703,3599,26,None
sirfootyy,529,3690,30,None
pen.realism,212,3709,49,None
football.laughs_,98,3859,24,None
ifootballhdr,36,4001,8,None
footpool.exe,361,4280,401,Digital Creator
anti_armymadridista,389,4308,216,Digital Creator
thefootballscrowd,588,4335,7007,None
sonofagung2,888,4523,247,None
leo_era.10,712,4540,135,Fan Page
thesocialabhishek,94,4629,238,Digital Creator
foody.baba,619,4766,4314,Personal Blog
barca__legends,250,4865,124,Sports Team
modernwomen.ig,284,5019,6400,Personal Blog
mahesh.__leo,437,5286,85,Designer
club_bengalcat,477,5561,2958,None
c9compshd_,79,6185,108,None
teamsrknepal,2317,6194,48,None
fcb_indiaa10,81,6225,85,Media
jonasbrown86,349,6591,1206,Blogger
cleatstime,1063,7096,17,None
janhvixworld,1105,7216,1389,None
plbants,1132,7620,188,None
footyhonour,75,7805,0,None
cleatsground,1074,8041,15,None
culefromindia,260,8053,492,Fan Page
barcelona4_ever_,68,8179,55,Sports
x_messihd,57,8400,142,Editor
communiquefilmpr,2127,8420,72,None
thetvfaspirants,124,8444,8,Digital Creator
ui.martin,66,8718,325,Designer
ronaldo.prime,240,9110,873,None
just.motorcycles,1237,9489,988,None
crazy_.jocks,55,9628,278,Video Creator
fcb.emirates,897,9755,33,None
vip_patole,537,9894,46,Artist
goalkeepernation7_,302,9894,600,News & Media Website
guawaah,526,10000,754,None
the__marinated,339,10000,6823,Blogger
__king__leo__messi_,682,10700,646,Sports Team
fotosmdc,4084,10900,505,Photographer
tr.x.leo,747,11100,760,None
every.football.league,1325,11300,49,None
vamoss_barca,809,11600,94,None
reels.haryanvi,763,11600,71,None
barcafanzone,157,11800,3993,News & Media Website
yr_jigri,1842,11800,49,Artist
messifansarmy,633,12000,1334,Fan Page
infinitebarca_videoss,185,12000,197,None
brcalony5,183,12000,373,Fan Page
anupthakurrr,1381,12100,85,None
sriyanofficialgroup,2180,12300,11,None
jatt_full_kaim,282,12400,22,Community
nanako9091,475,12500,661,None
barca_dubai,1027,12600,40,Coach
_sanju_leo_10,420,13000,938,None
messi_motivation_,442,13100,15,Community
badbarcaopinions,880,13100,104,None
futmovies,186,13100,386,None
urfreshtvsport,3042,13300,917,Public Figure
designbymix,157,13300,176,Designer
barcaarounds,2706,14000,567,Fan Page
nicoagustinoy,894,14100,856,None
kaththivasanth_vj_fan,85,14200,133,None
worldwide_engineering0,764,14600,42,"Science, Technology & Engineering"
trendy__memes__,1709,14700,3,Comedian
srk_fan_always,1136,14800,278,Fan Page
xandyfcoriginal,944,14900,129,Sports
shanayadiaries,175,14900,332,Video Creator
awaydaybanter,881,15000,219,None
___.nee_._,437,15100,791,Public Figure
barca_stories,765,15100,368,None
wearefemalefreestylers,1437,15200,813,None
fcbarcelonafanbase,997,15200,888,None
barnes.4wd,667,15400,154,None
thecristianopage,1072,15900,17,Journalist
lazymemers,2387,16100,295,Digital Creator
messigoat_4k,751,16200,2253,Athlete
wdsportz_,2410,16500,761,News & Media Website
backless__saree,320,16700,52,None
messi._bakthan,319,16800,171,Sports Team
barcelona.newsfeed,860,16900,6239,Sports
malavika.fc,596,17300,93,Fan Page
mumbaikarfoodspot,1127,18500,3756,Digital Creator
grollak_art,138,18500,157,Artist
messi_fans.4k,471,18800,2146,Sports Team
imessiteam,106,19300,37,Author
heavenqueen_.4u,280,19800,13,Video Creator
glamour.junction,443,19900,378,None
fcbarcalive_,1363,20000,385,News & Media Website
messifansi_4k,473,20300,4892,Athlete
4xwhips,544,21100,56,None
messimagicianhd,1146,21200,145,Fan Page
alternativesoccer,4055,21300,1592,None
dreamcartrend,483,21300,63,None
crazy_gamete,114,21700,276,Public Figure
rockslayeroffroad,1814,21700,421,None
barcellonalovers,232,21900,496,None
shafileo.10,913,22000,478,None
messiqx,487,22400,13,Athlete
